Spice,Andhra,Bengali,Goan,Gujarati,Hyderabadi,Jain,Karnataka,Kashmiri,Kerala,Maharashtrian,Mughlai,Parsi,Punjabi,Rajasthani,Sindhi,South Indian,Tamil Nadu,Uttar Pradesh
watermelon,0.0,0.0,0.0,0.0,0.0058823529411764705,0.0031746031746031746,0.0,0.0,0.0,0.0013774104683195593,0.0,0.0,0.0006618133686300463,0.0,0.0,0.0011806375442739079,0.0,0.0
cranberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013774104683195593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffee,0.0,0.0,0.0,0.0011641443538998836,0.0,0.0,0.0,0.0,0.0,0.0027548209366391185,0.0,0.0,0.0006618133686300463,0.0,0.0,0.0023612750885478157,0.0,0.0
black cumin,0.0,0.06810035842293907,0.0,0.002328288707799767,0.029411764705882353,0.01904761904761905,0.0,0.0,0.0,0.0013774104683195593,0.014285714285714285,0.0,0.01985440105890139,0.08527131782945736,0.0,0.004722550177095631,0.0,0.0
olive oil,0.0,0.0035842293906810036,0.0,0.013969732246798603,0.0,0.015873015873015872,0.008,0.0,0.015748031496062992,0.008264462809917356,0.0,0.0,0.013236267372600927,0.0,0.0,0.004722550177095631,0.005917159763313609,0.0
parsley,0.0,0.0,0.01282051282051282,0.0,0.0,0.015873015873015872,0.0,0.0,0.007874015748031496,0.0013774104683195593,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0
buckwheat,0.0,0.0,0.0,0.009313154831199068,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0027548209366391185,0.0,0.0,0.0006618133686300463,0.0,0.0,0.0011806375442739079,0.0,0.0
garden cress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013774104683195593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ajowan,0.019230769230769232,0.007168458781362007,0.02564102564102564,0.0570430733410943,0.01764705882352941,0.031746031746031744,0.008,0.0,0.015748031496062992,0.013774104683195593,0.004761904761904762,0.0,0.06750496360026473,0.10465116279069768,0.0,0.004722550177095631,0.011834319526627219,0.043859649122807015
ivy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.0013774104683195593,0.0,0.0,0.0006618133686300463,0.0,0.0,0.0,0.0,0.0
ivy gourd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.0013774104683195593,0.0,0.0,0.0006618133686300463,0.0,0.0,0.0,0.0,0.0
bottle gourd,0.0,0.0,0.0,0.030267753201396973,0.01764705882352941,0.0380952380952381,0.0,0.0425531914893617,0.007874015748031496,0.005509641873278237,0.023809523809523808,0.0196078431372549,0.015221707478491065,0.015503875968992248,0.022727272727272728,0.020070838252656435,0.0,0.008771929824561403
castor,0.0,0.014336917562724014,0.02564102564102564,0.005820721769499418,0.0058823529411764705,0.006349206349206349,0.0,0.0,0.0,0.005509641873278237,0.004761904761904762,0.0,0.0033090668431502318,0.003875968992248062,0.0,0.0,0.011834319526627219,0.02631578947368421
jasmine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.0013774104683195593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pumpkin seed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013774104683195593,0.0,0.0,0.0,0.0,0.0,0.0,0.005917159763313609,0.0
basil,0.0,0.0,0.0,0.004656577415599534,0.0,0.009523809523809525,0.0,0.0,0.0,0.0013774104683195593,0.004761904761904762,0.0,0.0033090668431502318,0.007751937984496124,0.0,0.0035419126328217238,0.005917159763313609,0.0
rose petals,0.0,0.010752688172043012,0.0,0.0034924330616996507,0.052941176470588235,0.0031746031746031746,0.016,0.02127659574468085,0.0,0.0027548209366391185,0.004761904761904762,0.0196078431372549,0.0026472534745201853,0.0,0.0,0.0011806375442739079,0.0,0.02631578947368421
anise,0.0,0.021505376344086023,0.0,0.0,0.0,0.0031746031746031746,0.0,0.14893617021276595,0.007874015748031496,0.0013774104683195593,0.01904761904761905,0.0,0.0033090668431502318,0.003875968992248062,0.0,0.004722550177095631,0.01775147928994083,0.0
lime,0.0,0.0,0.0,0.0011641443538998836,0.0,0.009523809523809525,0.0,0.0,0.007874015748031496,0.004132231404958678,0.0,0.0,0.0006618133686300463,0.003875968992248062,0.0,0.0011806375442739079,0.005917159763313609,0.008771929824561403
pear,0.019230769230769232,0.0035842293906810036,0.0,0.002328288707799767,0.0,0.006349206349206349,0.0,0.0,0.007874015748031496,0.0013774104683195593,0.0,0.0,0.001985440105890139,0.0,0.0,0.0035419126328217238,0.005917159763313609,0.008771929824561403
plum,0.0,0.0035842293906810036,0.0,0.0011641443538998836,0.0058823529411764705,0.0,0.0,0.02127659574468085,0.0,0.0013774104683195593,0.0,0.0,0.0006618133686300463,0.0,0.0,0.0,0.0,0.008771929824561403
apricot,0.0,0.0035842293906810036,0.0,0.0,0.011764705882352941,0.0,0.0,0.02127659574468085,0.0,0.0,0.014285714285714285,0.058823529411764705,0.0,0.0,0.0,0.0011806375442739079,0.0,0.0
barley,0.0,0.0,0.0,0.0,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006618133686300463,0.003875968992248062,0.0,0.0023612750885478157,0.0,0.0
camphor,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.004761904761904762,0.0,0.0,0.0,0.0,0.0023612750885478157,0.029585798816568046,0.0
holy basil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023612750885478157,0.0,0.008771929824561403
celery,0.0,0.0,0.0,0.0011641443538998836,0.0,0.012698412698412698,0.0,0.0,0.0,0.0,0.0,0.0,0.0026472534745201853,0.003875968992248062,0.0,0.0,0.0,0.0
angelica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004761904761904762,0.0,0.0006618133686300463,0.0,0.0,0.0,0.0,0.0
canola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006618133686300463,0.0,0.0,0.0,0.0,0.0
white mustard,0.0,0.0035842293906810036,0.0,0.0,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006618133686300463,0.007751937984496124,0.0,0.0,0.0,0.0
lotus,0.0,0.0,0.0,0.0,0.0058823529411764705,0.0,0.0,0.06382978723404255,0.0,0.0,0.0,0.0,0.004632693580410324,0.003875968992248062,0.022727272727272728,0.0,0.0,0.008771929824561403
kiwi,0.0,0.007168458781362007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001985440105890139,0.0,0.0,0.0,0.0,0.008771929824561403
allspice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006618133686300463,0.0,0.0,0.0,0.0,0.0
papaya,0.0,0.0035842293906810036,0.0,0.0011641443538998836,0.01764705882352941,0.006349206349206349,0.0,0.0425531914893617,0.007874015748031496,0.0,0.009523809523809525,0.0,0.0033090668431502318,0.0,0.0,0.0,0.0,0.02631578947368421
sweet marjoram,0.0,0.0,0.0,0.0011641443538998836,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0013236267372600927,0.003875968992248062,0.0,0.0,0.0,0.0
sage,0.0,0.0,0.01282051282051282,0.0011641443538998836,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0013236267372600927,0.003875968992248062,0.0,0.0,0.0,0.0
thyme,0.0,0.0,0.0,0.0011641443538998836,0.0,0.0031746031746031746,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0013236267372600927,0.003875968992248062,0.0,0.0,0.0,0.0
oregano,0.0,0.0,0.0,0.0011641443538998836,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0006618133686300463,0.0,0.0,0.0,0.0,0.0
guava,0.0,0.0,0.0,0.004656577415599534,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0006618133686300463,0.0,0.0,0.0,0.0,0.008771929824561403
okra,0.0,0.0,0.0,0.0011641443538998836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asparagus,0.0,0.0,0.0,0.0,0.0,0.006349206349206349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chives,0.0,0.0,0.0,0.0,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avocado,0.0,0.0,0.0,0.0,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grapefruit,0.0,0.0,0.0,0.0,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lovage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005917159763313609,0.0
